Order ID,Order Creation Date,Release Time,Order Status,Product Price,Seller Voucher,Shopee Discount,Shopee Coins Redeemed,Shipping Fee Paid by Buyer,Shipping Fee Rebate From Shopee,Shipping Fee Borne by Seller,Actual Shipping Fee,Reverse Shipping Fee,Commission Fee,Transaction Fee,Service Fee,AMS Commission Fee,Lost Compensation,Product Service Tax (GST),Shipping Fee Service Tax (GST),Withholding Tax,Refund Amount,Final Amount
2501841522,2026-01-01,2026-01-13,Completed,89.00,-8.90,0.00,0.00,3.90,1.56,-4.68,-4.48,0.00,-4.41,-2.02,-1.68,-8.90,0.00,-0.65,-0.43,0.00,0.00,58.31
2501351254,2026-01-01,2026-01-13,Completed,89.00,0.00,0.00,0.00,2.50,1.00,-3.00,-2.87,0.00,-4.89,-2.02,-1.87,-8.90,0.00,-0.70,-0.27,0.00,0.00,67.98
2502997244,2026-01-02,2026-01-14,Completed,210.00,0.00,-10.50,0.00,2.50,1.00,-3.00,-2.87,0.00,-10.97,-4.77,-4.19,0.00,0.00,-1.59,-0.27,0.00,0.00,175.34
2502736511,2026-01-02,2026-01-14,Completed,19.50,0.00,0.00,0.00,5.00,2.00,-6.00,-5.75,0.00,-1.07,-0.44,-0.41,-1.95,0.00,-0.15,-0.55,0.00,0.00,10.18
2503404708,2026-01-03,2026-01-15,Completed,129.00,-12.90,-6.45,-2.58,0.00,0.00,0.00,0.00,0.00,-6.03,-2.93,-2.30,0.00,0.00,-0.90,0.00,0.00,0.00,94.91
2503654087,2026-01-03,2026-01-15,Completed,24.00,-2.40,-1.20,0.00,2.50,1.00,-3.00,-2.87,0.00,-1.12,-0.54,-0.43,0.00,0.00,-0.17,-0.27,0.00,0.00,15.50
2504937754,2026-01-04,2026-01-16,Completed,19.50,-1.95,0.00,-0.39,0.00,0.00,0.00,0.00,0.00,-0.97,-0.44,-0.37,0.00,0.00,-0.14,0.00,0.00,0.00,15.24
2504770051,2026-01-04,2026-01-16,Cancelled,19.50,0.00,-0.97,0.00,0.00,0.00,0.00,0.00,-2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-19.50,-3.47
2505829291,2026-01-05,2026-01-17,Completed,89.00,0.00,-4.45,0.00,0.00,0.00,0.00,0.00,0.00,-4.65,-2.02,-1.78,0.00,0.00,-0.68,0.00,0.00,0.00,75.42
2505201476,2026-01-05,2026-01-17,Completed,24.00,0.00,0.00,0.00,5.00,2.00,-6.00,-5.75,0.00,-1.32,-0.54,-0.50,0.00,0.00,-0.19,-0.55,0.00,0.00,16.15
